Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),A100,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 45
602.396
602.419
602.303
603.969
600.598
600.199
600.115
600.218
600.143
600.235
