Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),A100,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 88
2010.55
2010.5
2010.86
2010.24
2010.31
2010.19
2010.69
2010.65
2010.14
2010.26
