Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),A100,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_normi/norm0: 0.320812
10.8415
10.8006
10.8018
10.8263
10.7845
10.7886
10.8022
10.7921
10.815
10.7947
