Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),A100,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 174
18246.5
18247.1
18249.2
18245.7
18244.6
18243.5
18249.5
18244
18244.1
18243.1
