Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),A100,3d_27pt,256,256,256,449455096,MG,vanilla_version_CG iterations: 159
92.7012
92.5471
92.5573
92.5532
92.5563
92.545
92.5276
92.5461
92.544
92.5358
