Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),A100,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 48
145.806
145.931
145.696
145.801
145.767
145.765
145.729
145.759
145.714
145.835
