Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),A100,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_CG iterations: 45
26.1689
26.0404
26.0763
26.1577
26.1444
26.1578
26.1181
26.1051
26.0999
26.1048
