Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),A100,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 88
22.0492
22.1215
22.0979
22.1092
22.1051
22.0989
22.1194
22.1061
22.101
22.0856
