Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),A100,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_normi/norm0: 0.292314
15.2732
15.2466
15.2536
15.2177
15.2386
15.216
15.2453
15.2221
15.2215
15.2352
