Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),A100,3d_27pt,32,32,32,830584,CG,vanilla_version_CG iterations: 24
125.363
125.467
125.375
125.297
125.379
125.395
125.204
125.338
125.364
125.51
