Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),A100,3d_27pt,256,256,256,449455096,SymGS,vanilla_version_normi/norm0: 0.641553
436.267
436.24
436.36
436.16
436.132
436.123
436.094
436.152
436.219
436.178
