Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),A100,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_CG iterations: 83
151.733
151.703
151.658
151.64
151.639
151.671
151.652
151.701
151.621
151.716
