Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),A100,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_CG iterations: 159
1997.9
1998.14
1998.16
1998
1998.06
1997.86
1998.34
1997.88
1998.05
1998.16
