Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),A100,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 48
2.78298
2.75661
2.7607
2.74944
2.75968
2.75456
2.75251
2.7648
2.76378
2.75558
