Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),A100,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 45
13.0597
12.9956
13.0365
13.055
13.0458
13.0161
13.0232
13.0335
13.0529
13.0826
