Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),A100,3d_27pt,256,256,256,449455096,SymGS,vanilla_version_normi/norm0: 0.647401
421.729
421.775
421.887
421.709
421.835
421.841
421.7
421.936
421.723
421.741
