Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),A100,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_CG iterations: 88
151.327
151.435
151.238
151.342
151.299
151.309
151.309
151.334
151.359
151.312
