Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),A100,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 24
9.98262
9.96899
10.0019
9.97526
9.9863
9.97728
9.96877
9.9448
10.0044
9.95158
