Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),A100,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 91
1168.84
1168.65
1168.75
1168.74
1170.79
1168.56
1168.56
1168.57
1168.61
1168.68
