Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),A100,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 44
280.903
281.06
280.954
280.894
280.924
281.021
280.869
281.109
280.937
280.907
