Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),A100,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 83
1380.21
1382.68
1380.35
1380.46
1380.38
1380.37
1380.23
1380.42
1380.49
1380.21
