Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),A100,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_normi/norm0: 0.464107
68.1357
68.1436
68.1063
68.0978
68.0492
68.0743
68.0677
68.0809
68.1075
68.0491
