Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),A100,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 44
6.12941
6.08973
6.07949
6.0969
6.08154
6.09894
6.10816
6.09587
6.08461
6.1184
