Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),A100,3d_27pt,32,32,32,830584,CG,vanilla_version_CG iterations: 26
602.048
48.5286
48.5041
48.5337
48.496
48.4811
48.5405
48.555
48.5486
48.42
