Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),A100,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_CG iterations: 177
1998.55
1998.6
1998.85
1998.34
1998.68
1998.64
1998.72
1998.65
1999
1999.08
