Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),A100,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_normi/norm0: 0.469112
62.1458
62.1146
62.1298
62.1473
62.12
62.1067
62.1166
62.1181
62.0873
62.1228
