Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),A100,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_CG iterations: 44
26.321
26.1695
26.1882
26.2163
26.2389
26.3094
26.2996
26.2129
26.1862
26.1878
