Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),A100,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 159
15511.6
15511.4
15511.6
15511.6
15511.1
15511.8
15511.6
15511.7
15511.7
15511.4
