Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),A100,3d_27pt,256,256,256,449455096,MG,vanilla_version_CG iterations: 174
99.8627
99.8154
99.8226
99.8318
99.8185
99.8789
99.8113
99.8656
99.8195
99.8205
