Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),A100,3d_27pt,32,32,32,830584,CG,vanilla_version_CG iterations: 25
295.318
295.375
295.485
295.418
295.456
295.36
295.169
295.368
295.276
295.399
