Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),A100,3d_27pt,32,32,32,830584,SymGS,vanilla_version_normi/norm0: 0.128038
18.0636
18.0052
18.0022
18.0201
18.0049
18.03
18.026
18.0036
18.0497
18.0487
