Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),A100,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 83
15.8481
15.8444
15.8269
15.828
15.8433
15.829
15.8239
15.8413
15.8259
15.8495
