Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),A100,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 25
10.0575
10.029
10.0277
10.0033
10.1129
10.0737
10.0428
10.043
10.0531
10.0478
