Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),A100,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_normi/norm0: 0.288012
25.6967
25.6969
25.7481
25.6905
25.7134
25.7122
25.7158
25.7602
25.679
25.7018
