Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),A100,3d_27pt,32,32,32,830584,SymGS,vanilla_version_normi/norm0: 0.14711
3.54342
3.52352
3.53341
3.50704
3.49811
3.49798
3.51066
3.50637
3.49952
3.50336
