Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),A100,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 25
11.6808
11.6224
11.6122
11.604
11.6224
11.6378
11.6152
11.6541
11.6408
11.648
