Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),A100,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_normi/norm0: 0.51174
55.2124
55.1517
55.1233
55.1373
55.0913
55.0716
55.1198
55.1149
55.0866
55.0933
