Striped Multi GPU,GH200,3d_27pt,32,32,32,0,CG,vanilla_version NPX=5 NPY=5 NPZ=5
44412.6
44354.2
44368.7
44388.2
44434.6
44362.3
44351.3
44334.2
44360.1
44358.9
