Striped Multi GPU,GH200,3d_27pt,32,32,32,0,CG,vanilla_version NPX=8 NPY=8 NPZ=8
73777.2
73859.3
73951.4
74002.4
74163.6
74081
74130.2
74154.2
74120
74110
