Striped Multi GPU,GH200,3d_27pt,32,32,32,0,CG,vanilla_version NPX=11 NPY=11 NPZ=11
97994.6
97959.2
97957.5
97967.8
97963.6
97951.7
97973.6
97988.5
98003.7
98138.7
