Striped Multi GPU,GH200,3d_27pt,32,32,32,0,CG,vanilla_version NPX=2 NPY=2 NPZ=2
5071.53
5072.14
5074.71
5071.41
5073.49
5073.12
5083.86
5076.05
5079.71
5079.59
