Striped Multi GPU,GH200,3d_27pt,32,32,32,0,CG,vanilla_version NPX=10 NPY=10 NPZ=10
90481.7
90559.6
90522.5
90583.2
90526.6
90440.9
90522
90589.8
90451.2
90436.8
