NPX,NPY,NPZ,#iterations,,,,
1,1,1,32,,,,
2,2,2,67,,,,
3,3,3,100,,,,
4,4,4,132,,,,
5,5,5,163,,,,
6,6,6,190,,,,
7,7,7,225,,,,
8,8,8,256,,,,
9,9,9,277,,,,
10,10,10,302,,,,
11,11,11,328,,,,
12,12,12,355,,,,
