Banded Preprocessed (16 rows while preprocessing),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version
5450.91
5451.53
5451.46
5450.98
5451.73
5451.85
5451.17
5451.19
5451.46
5451.36
