Banded Preprocessed (16 rows while preprocessing),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version
10927.6
10928.1
10928.1
10928.6
10928.1
10959.2
10993.5
10993.5
10993.5
10993.5
