Banded Preprocessed (16 rows while preprocessing),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version
2725.21
2725.63
2725.18
2725.28
2725.57
2725.61
2725.5
2725.51
2725.51
2725.56
