Banded Preprocessed (16 rows while preprocessing),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version
1362.46
1362.45
1362.42
1362.46
1362.48
1362.49
1362.47
1362.54
1362.5
1362.5
