Banded Preprocessed (16 rows while preprocessing),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version
1.34246
1.33939
1.34042
1.34038
1.34042
1.34042
1.34042
1.34042
1.34042
1.33942
