Banded Preprocessed (16 rows while preprocessing),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version
82.0487
81.9919
82.0017
82.0508
82.0763
82.0088
82.0217
81.998
82.0545
82.1091
