Striped coloring (pre-computing COR Format),A100,3d_27pt,128,64,64,13790200,MG,vanilla_version_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54
58.4253
57.9445
57.9408
57.9699
58.0182
58.0359
58.6279
57.9796
58.0804
58.1404
