Striped Box coloring (coloringBox 2x2x2),A100,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_CG iterations: 91
143.571
143.67
143.576
143.586
143.662
143.609
143.594
143.65
143.592
143.742
