Striped coloring (COR Format already stored on the GPU),A100,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 78
6827.18
6825.28
6828.49
6826.74
6823.73
6828.38
6827.78
6826.52
6827.98
6827.31
