Striped Box coloring (coloringBox 3x3x3),A100,3d_27pt,256,256,256,449455096,MG,vanilla_version_CG iterations: 159
51.6684
51.542
51.5881
51.5727
51.5686
51.5482
51.5758
51.5389
51.5738
51.5973
