Striped coloring (COR Format already stored on the GPU),A100,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 24
19.3036
19.2696
19.2686
19.2358
19.2512
19.2604
19.2471
19.2358
19.3372
19.372
