Striped Box coloring (coloringBox 3x3x3),A100,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 159
8953.45
8953.86
8953.41
8953.39
8953.52
8953.67
8953.63
8953.18
8953.88
8953.51
