Striped coloring (pre-computing COR Format),A100,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65
185.617
185.778
186.686
188.918
267.035
270.058
243.936
255.416
245.495
249.23
