Striped Box coloring (coloringBox 3x3x3),A100,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_CG iterations: 159
1916.46
1916.16
1916.16
1916.24
1916.3
1916.14
1916.28
1916.22
1916.31
1916.22
