Striped Box coloring (coloringBox 2x2x2),A100,3d_27pt,256,256,256,449455096,MG,vanilla_version_CG iterations: 177
39.8386
39.8397
39.8449
39.8469
39.8285
39.8275
39.849
39.8172
39.849
39.81
