Striped Box coloring (coloringBox 3x3x3),A100,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_CG iterations: 83
143.619
143.651
143.648
143.655
143.597
143.655
143.671
143.665
143.676
143.59
