Striped coloring (storing nothing),A100,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_CG iterations: 78
143.584
143.517
143.47
143.501
143.561
143.466
143.559
143.518
143.574
143.608
