Striped Box coloring (coloringBox 2x2x2),A100,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 91
6.7367
6.79731
6.79322
6.79219
6.79014
6.78298
6.80141
6.79526
6.78195
6.78912
