Striped coloring (pre-computing COR Format),A100,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41
120.235
119.831
121.626
119.96
122.17
120.091
122.557
120.076
122.165
120.177
