Striped coloring (storing nothing),A100,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 24
9.41971
9.39072
9.38432
9.40426
9.41658
9.39309
9.39946
9.40349
9.39315
9.36854
