Striped coloring (pre-computing COR Format),A100,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152
1919.16
1918.03
1920.83
1917.71
1918.83
1918.05
1918.57
1917.96
1918.71
1917.81
